Country_Group_Name,WB_Code,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID,WB_Country_ID
Pacific Islands,4P,FJ,FM,KI,MH,PW,SB,TO,VU,WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Island Developing States,1S,AG,BS,BH,BB,BZ,CV,KM,CU,DM,DO,FJ,GD,GW,GY,HT,JM,KI,MV,MH,MU,FM,NR,PW,PG,WS,ST,SC,SG,SB,KN,LC,VC,SR,TP,TO,TT,TV,VU,,,,,,,,,,,
East Asia and Pacific,4E,CN,FJ,FM,ID,KH,KI,KR,LA,MH,MM,MN,MY,PG,PH,PW,SB,TH,TO,VN,VU,WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,7E,AL,AM,AZ,BA,BG,BY,CY,CZ,EE,GE,HR,HU,KG,KZ,LT,LV,MD,MK,PL,PT,RO,RU,SI,SK,TJ,TM,TR,UA,UZ,YF,,,,,,,,,,,,,,,,,,,
Latin America and The Carribean,6L,AG,AR,BB,BO,BR,BS,BZ,CL,CO,CR,DM,DO,EC,GD,GT,GY,HN,HT,JM,KN,LC,MX,NI,PA,PE,PY,SR,SV,TT,UY,VC,VE,,,,,,,,,,,,,,,,,
Middle East and North Africa,5M,AE,BH,DZ,EG,GZ,IQ,IR,JO,KW,LB,LY,MA,MT,OM,QA,RY,SA,SY,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,8S,AF,BD,BT,IN,LK,MV,NP,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,3A,AO,BF,BI,BJ,BW,CF,CG,CI,CM,CV,DJ,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RW,SC,SD,SL,SN,SO,SS,ST,SZ,TD,TG,TZ,UG,ZA,ZM,ZR,ZW
Europe,1E,AD,AL,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GG,GI,GR,HR,HU,IE,IM,IS,IT,JE,LI,LT,LU,LV,MC,MD,MK,MT,NL,NO,PL,PT,RO,RU,SE,SI,SK,TR,UA,YF,,,
