Risk Data - Dataset information,,,,,Applicable for ,,,,,Scale Level Score,,,Comments
ID,Dataset,Description,Format,Resolution,Flood,Tsunami,Cyclones,Earthquakes,Vulcano,Global,National,Local,
1,risk indicators,existing risk assessment (monetary/non-monetary),report,,1,1,1,1,1,1,,,"from global risk assessments, e.g. GAR"
2,risk indicators,existing risk assessment (monetary/non-monetary),report,,1,1,1,1,1,,2,,from previous national assessments
3,risk indicators,existing risk assessment (monetary/non-monetary),report,,1,1,1,1,1,,,3,from previous local studies
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
